"","incident_type","speed_mean","speed_sd","speed_min","speed_max","delay_mean","delay_sd","delay_min","delay_max"
"1","blocked",0,0,0,0,NA,NA,Inf,-Inf
"2","queuing traffic",30.2029774049724,10.3444020682205,11,39,294.907617320336,102.89625140401,33,450
"3","roadworks",80,0,80,80,43.0316831683168,5.64695047497138,35,47
"4","slow traffic",46.4958551183269,4.87534972941956,40,57,105.669217804073,46.8444718000445,30,174
"5","stationary traffic",27.4731388055631,0.499294975046713,27,28,444.341968911917,103.885795882833,75,506
