"","incident_type","speed_mean","speed_sd","speed_min","speed_max","delay_mean","delay_sd","delay_min","delay_max"
"1","blocked",0,0,0,0,512.688148478678,189.658225670256,36,663
"2","queuing traffic",30.3179494253283,5.61869432498152,15,39,420.265145481162,247.385214341247,22,1049
"3","roadworks",80,0,80,80,692.470493110195,803.129402117299,10,3910
"4","slow traffic",43.8875758474135,8.42888355637283,19,75,224.980840837472,190.93456935438,7,945
"5","stationary traffic",13.0679368539296,7.94697344646582,5,28,954.967577795905,809.297971738092,56,3910
"6",NA,0,0,0,0,NA,NA,Inf,-Inf
